date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url
2024-04-01,24,FE!N (feat. Playboi Carti),,,191700,album,19,2023-07-28,True,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
2023-05-31,41,golden hour,,,209259,album,12,2022-09-23,False,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954
2024-09-03,43,Apple,Charli xcx,90.0,151739,album,15,2024-06-07,False,https://i.scdn.co/image/ab67616d0000b27388e3822cccfb8f2832c70c2e
2024-03-26,24,,21 Savage,94.0,270697,album,15,2024-01-12,True,https://i.scdn.co/image/ab67616d0000b273bbdceba2bf1867d4966d0347
2024-05-26,9,A Bar Song (Tipsy),Shaboozey,96.0,171291,single,1,2024-04-12,True,https://i.scdn.co/image/ab67616d0000b27380d86d636244b72a3a1eede2
2023-10-08,11,Si No Estás,iñigo quintero,89.0,184061,single,1,2022-09-23,False,https://i.scdn.co/image/ab67616d0000b2735cb9531348f45311cd6fb8df
2024-03-04,11,Stick Season,Noah Kahan,,182346,album,14,2022-10-14,False,https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918
2023-08-21,32,,FIFTY FIFTY,95.0,174253,single,3,2023-02-24,False,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb
2024-09-09,36,i like the way you kiss me,Artemas,,142514,album,14,2024-07-11,False,https://i.scdn.co/image/ab67616d0000b2738fe69d8df304ff053693653e
2024-09-23,21,The Night We Met,,90.0,208211,album,14,2015-04-06,False,https://i.scdn.co/image/ab67616d0000b27317875a0610c23d8946454583
2023-09-28,25,Según Quién,Maluma,79.0,142334,album,25,2023-08-25,True,https://i.scdn.co/image/ab67616d0000b273d688b951a19f48941682e026
2023-12-19,41,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,90.0,155933,album,21,1999-08-20,False,https://i.scdn.co/image/ab67616d0000b273d5f598be32d3027b9578ecd6
2024-02-08,22,PERRO NEGRO,Bad Bunny,96.0,162767,album,22,2023-10-13,True,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec
2024-07-31,25,,Billie Eilish,93.0,179586,album,10,2024-05-17,False,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
2024-03-23,50,eternal sunshine,Ariana Grande,88.0,210200,album,13,2024-03-08,False,https://i.scdn.co/image/ab67616d0000b2738b58d20f1b77295730db15b4
2023-08-04,28,Classy 101,Feid & Young Miko,95.0,195986,single,1,2023-03-31,True,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a
2023-10-19,30,Columbia,Quevedo,96.0,186000,single,1,2023-07-07,False,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9
2024-11-27,19,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)",,82.0,131240,album,12,2024-11-22,True,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58
2024-10-02,2,BIRDS OF A FEATHER,Billie Eilish,99.0,210373,album,10,2024-05-17,False,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
2023-08-05,8,,Quevedo,,186000,single,1,2023-07-07,False,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9
2024-05-17,15,Lose Control,Teddy Swims,93.0,210688,album,10,2023-09-15,False,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace
2023-11-09,40,Columbia,Quevedo,94.0,186000,single,1,2023-07-07,False,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9
2024-05-28,47,My Love Mine All Mine,Mitski,92.0,137773,album,11,2023-09-15,False,https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10
2024-06-25,27,Austin (Boots Stop Workin'),Dasha,,171782,album,8,2024-02-16,True,https://i.scdn.co/image/ab67616d0000b2734ccf88b66e04cfd247f287eb
2024-01-22,14,"Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap & Young Miko,90.0,187172,single,1,2024-01-10,False,https://i.scdn.co/image/ab67616d0000b2737b58409ef2fbbcd4d0f4ed05
2024-01-06,29,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,93.0,222369,single,1,2023-07-13,False,https://i.scdn.co/image/ab67616d0000b273ed317ec13d3de9e01fb99c9e
